id,status,daysLeft
0,healthy,0
1,healthy,0
2,healthy,0
652,healthy,0
667,recovered,0
473,healthy,0
6,recovered,0
489,healthy,0
8,recovered,0
9,healthy,0
43,healthy,0
11,healthy,0
404,healthy,0
13,healthy,0
211,healthy,0
267,recovered,0
634,healthy,0
791,healthy,0
620,sick,3
19,healthy,0
857,recovered,0
21,sick,2
22,healthy,0
23,recovered,0
549,healthy,0
148,healthy,0
26,healthy,0
44,healthy,0
718,recovered,0
500,healthy,0
499,healthy,0
31,healthy,0
32,sick,1
33,healthy,0
577,recovered,0
35,recovered,0
105,healthy,0
471,healthy,0
513,healthy,0
39,healthy,0
958,recovered,0
312,healthy,0
949,healthy,0
126,healthy,0
27,healthy,0
45,healthy,0
177,healthy,0
47,healthy,0
984,healthy,0
49,healthy,0
291,healthy,0
810,healthy,0
761,healthy,0
458,healthy,0
7,healthy,0
55,healthy,0
56,healthy,0
57,healthy,0
58,healthy,0
358,healthy,0
856,sick,3
670,sick,1
62,sick,1
221,sick,2
64,sick,3
80,sick,3
497,healthy,0
269,healthy,0
68,healthy,0
248,healthy,0
70,healthy,0
71,healthy,0
951,healthy,0
73,healthy,0
299,healthy,0
75,healthy,0
76,sick,2
484,recovered,0
325,healthy,0
201,sick,0
416,sick,0
952,recovered,0
82,recovered,0
79,healthy,0
996,recovered,0
275,recovered,0
86,recovered,0
533,healthy,0
320,healthy,0
217,recovered,0
90,healthy,0
906,healthy,0
92,healthy,0
246,healthy,0
94,healthy,0
95,healthy,0
699,healthy,0
97,healthy,0
98,healthy,0
99,healthy,0
752,healthy,0
101,healthy,0
102,healthy,0
136,sick,1
104,healthy,0
297,healthy,0
981,healthy,0
107,healthy,0
108,sick,2
109,sick,1
110,sick,0
226,healthy,0
60,recovered,0
113,healthy,0
154,recovered,0
34,recovered,0
116,recovered,0
117,sick,3
541,sick,0
119,healthy,0
120,healthy,0
121,healthy,0
122,healthy,0
474,healthy,0
124,healthy,0
238,healthy,0
373,healthy,0
544,healthy,0
439,healthy,0
129,healthy,0
130,healthy,0
131,healthy,0
132,healthy,0
133,healthy,0
874,healthy,0
135,healthy,0
412,healthy,0
828,recovered,0
138,healthy,0
675,healthy,0
140,healthy,0
156,healthy,0
142,healthy,0
143,healthy,0
869,healthy,0
145,healthy,0
146,healthy,0
551,healthy,0
735,healthy,0
420,healthy,0
486,recovered,0
151,recovered,0
152,recovered,0
153,recovered,0
114,recovered,0
155,recovered,0
448,recovered,0
575,recovered,0
158,sick,0
976,healthy,0
388,sick,0
392,sick,0
162,sick,3
163,recovered,0
164,healthy,0
165,healthy,0
166,healthy,0
319,healthy,0
876,recovered,0
169,healthy,0
170,healthy,0
340,healthy,0
540,healthy,0
566,healthy,0
174,healthy,0
531,healthy,0
585,healthy,0
46,healthy,0
178,healthy,0
798,healthy,0
479,healthy,0
181,healthy,0
586,healthy,0
780,healthy,0
184,healthy,0
185,healthy,0
912,sick,3
218,recovered,0
103,healthy,0
189,recovered,0
543,recovered,0
191,recovered,0
535,healthy,0
180,recovered,0
194,recovered,0
195,recovered,0
490,healthy,0
365,recovered,0
198,healthy,0
199,healthy,0
197,healthy,0
515,recovered,0
641,healthy,0
243,healthy,0
765,healthy,0
205,healthy,0
757,healthy,0
997,healthy,0
208,healthy,0
209,healthy,0
69,healthy,0
14,recovered,0
212,sick,3
213,sick,1
214,sick,0
215,recovered,0
216,recovered,0
89,healthy,0
719,recovered,0
219,recovered,0
220,healthy,0
63,healthy,0
222,healthy,0
223,healthy,0
224,healthy,0
225,healthy,0
547,healthy,0
950,healthy,0
331,healthy,0
5,recovered,0
830,healthy,0
849,healthy,0
438,healthy,0
233,healthy,0
234,healthy,0
235,healthy,0
738,healthy,0
237,recovered,0
125,healthy,0
999,healthy,0
521,healthy,0
762,healthy,0
296,healthy,0
203,healthy,0
696,healthy,0
245,healthy,0
332,healthy,0
247,healthy,0
402,healthy,0
200,healthy,0
250,healthy,0
251,healthy,0
252,healthy,0
253,healthy,0
661,healthy,0
255,healthy,0
374,healthy,0
588,healthy,0
258,healthy,0
825,sick,4
796,recovered,0
633,recovered,0
692,sick,1
573,recovered,0
264,recovered,0
265,recovered,0
266,healthy,0
867,recovered,0
268,healthy,0
67,healthy,0
742,healthy,0
835,healthy,0
111,healthy,0
850,healthy,0
558,healthy,0
378,sick,4
149,recovered,0
584,sick,2
278,healthy,0
472,healthy,0
413,sick,0
450,sick,1
282,recovered,0
283,sick,1
962,recovered,0
917,recovered,0
286,healthy,0
645,healthy,0
279,healthy,0
289,healthy,0
539,healthy,0
50,healthy,0
292,healthy,0
293,healthy,0
294,healthy,0
783,healthy,0
242,healthy,0
36,recovered,0
298,healthy,0
848,healthy,0
498,recovered,0
710,healthy,0
300,healthy,0
613,recovered,0
851,recovered,0
726,healthy,0
927,healthy,0
597,healthy,0
176,healthy,0
309,healthy,0
310,healthy,0
311,healthy,0
504,healthy,0
313,healthy,0
314,healthy,0
724,healthy,0
381,healthy,0
653,healthy,0
318,healthy,0
910,sick,2
10,sick,1
722,recovered,0
322,recovered,0
323,recovered,0
324,healthy,0
78,recovered,0
326,healthy,0
24,healthy,0
65,recovered,0
329,healthy,0
330,healthy,0
228,healthy,0
841,healthy,0
333,healthy,0
334,healthy,0
987,recovered,0
74,healthy,0
337,healthy,0
338,healthy,0
693,healthy,0
287,healthy,0
341,healthy,0
3,healthy,0
343,healthy,0
344,healthy,0
141,healthy,0
346,healthy,0
347,healthy,0
147,healthy,0
760,healthy,0
840,healthy,0
770,healthy,0
888,healthy,0
353,healthy,0
4,healthy,0
355,healthy,0
356,healthy,0
357,healthy,0
359,healthy,0
574,healthy,0
360,healthy,0
690,healthy,0
408,healthy,0
363,healthy,0
367,healthy,0
249,healthy,0
366,healthy,0
425,healthy,0
368,healthy,0
369,healthy,0
370,healthy,0
371,healthy,0
372,healthy,0
88,recovered,0
256,recovered,0
375,recovered,0
376,recovered,0
377,healthy,0
85,healthy,0
379,healthy,0
380,recovered,0
93,healthy,0
461,healthy,0
383,healthy,0
832,healthy,0
385,healthy,0
911,healthy,0
387,recovered,0
646,healthy,0
389,recovered,0
603,sick,1
391,recovered,0
161,recovered,0
393,sick,3
980,healthy,0
727,sick,0
396,sick,1
397,sick,2
229,healthy,0
190,recovered,0
66,healthy,0
401,healthy,0
210,healthy,0
421,healthy,0
12,healthy,0
405,healthy,0
406,healthy,0
407,healthy,0
925,healthy,0
84,healthy,0
227,healthy,0
411,healthy,0
623,healthy,0
280,healthy,0
414,healthy,0
415,recovered,0
328,healthy,0
766,healthy,0
729,recovered,0
419,healthy,0
168,healthy,0
908,healthy,0
422,healthy,0
423,healthy,0
424,healthy,0
364,healthy,0
426,healthy,0
537,healthy,0
428,healthy,0
429,healthy,0
418,healthy,0
632,healthy,0
432,healthy,0
433,healthy,0
434,healthy,0
435,healthy,0
436,healthy,0
678,healthy,0
